dt_abertura;Semana;Ano;Mes;Dia;CurYTDFlag;LastYTDFlag;MesAno;Trimestre;SemanaAno;DiaSemana
21/06/1942;26;1942;jun;21;0;0;jun-1942;2º Trimestre;26-1942;dom
22/06/1942;26;1942;jun;22;0;0;jun-1942;2º Trimestre;26-1942;seg
23/06/1942;26;1942;jun;23;0;0;jun-1942;2º Trimestre;26-1942;ter
24/06/1942;26;1942;jun;24;0;0;jun-1942;2º Trimestre;26-1942;qua
25/06/1942;26;1942;jun;25;0;0;jun-1942;2º Trimestre;26-1942;qui
26/06/1942;26;1942;jun;26;0;0;jun-1942;2º Trimestre;26-1942;sex
27/06/1942;26;1942;jun;27;0;0;jun-1942;2º Trimestre;26-1942;sáb
28/06/1942;27;1942;jun;28;0;0;jun-1942;2º Trimestre;27-1942;dom
29/06/1942;27;1942;jun;29;0;0;jun-1942;2º Trimestre;27-1942;seg
30/06/1942;27;1942;jun;30;0;0;jun-1942;2º Trimestre;27-1942;ter
01/07/1942;27;1942;jul;1;0;0;jul-1942;3º Trimestre;27-1942;qua
02/07/1942;27;1942;jul;2;0;0;jul-1942;3º Trimestre;27-1942;qui
03/07/1942;27;1942;jul;3;0;0;jul-1942;3º Trimestre;27-1942;sex
04/07/1942;27;1942;jul;4;0;0;jul-1942;3º Trimestre;27-1942;sáb
05/07/1942;28;1942;jul;5;0;0;jul-1942;3º Trimestre;28-1942;dom
06/07/1942;28;1942;jul;6;0;0;jul-1942;3º Trimestre;28-1942;seg
07/07/1942;28;1942;jul;7;0;0;jul-1942;3º Trimestre;28-1942;ter
08/07/1942;28;1942;jul;8;0;0;jul-1942;3º Trimestre;28-1942;qua
09/07/1942;28;1942;jul;9;0;0;jul-1942;3º Trimestre;28-1942;qui
10/07/1942;28;1942;jul;10;0;0;jul-1942;3º Trimestre;28-1942;sex
11/07/1942;28;1942;jul;11;0;0;jul-1942;3º Trimestre;28-1942;sáb
12/07/1942;29;1942;jul;12;0;0;jul-1942;3º Trimestre;29-1942;dom
13/07/1942;29;1942;jul;13;0;0;jul-1942;3º Trimestre;29-1942;seg
14/07/1942;29;1942;jul;14;0;0;jul-1942;3º Trimestre;29-1942;ter
15/07/1942;29;1942;jul;15;0;0;jul-1942;3º Trimestre;29-1942;qua
16/07/1942;29;1942;jul;16;0;0;jul-1942;3º Trimestre;29-1942;qui
17/07/1942;29;1942;jul;17;0;0;jul-1942;3º Trimestre;29-1942;sex
18/07/1942;29;1942;jul;18;0;0;jul-1942;3º Trimestre;29-1942;sáb
19/07/1942;30;1942;jul;19;0;0;jul-1942;3º Trimestre;30-1942;dom
20/07/1942;30;1942;jul;20;0;0;jul-1942;3º Trimestre;30-1942;seg
21/07/1942;30;1942;jul;21;0;0;jul-1942;3º Trimestre;30-1942;ter
22/07/1942;30;1942;jul;22;0;0;jul-1942;3º Trimestre;30-1942;qua
23/07/1942;30;1942;jul;23;0;0;jul-1942;3º Trimestre;30-1942;qui
24/07/1942;30;1942;jul;24;0;0;jul-1942;3º Trimestre;30-1942;sex
25/07/1942;30;1942;jul;25;0;0;jul-1942;3º Trimestre;30-1942;sáb
26/07/1942;31;1942;jul;26;0;0;jul-1942;3º Trimestre;31-1942;dom
27/07/1942;31;1942;jul;27;0;0;jul-1942;3º Trimestre;31-1942;seg
28/07/1942;31;1942;jul;28;0;0;jul-1942;3º Trimestre;31-1942;ter
29/07/1942;31;1942;jul;29;0;0;jul-1942;3º Trimestre;31-1942;qua
30/07/1942;31;1942;jul;30;0;0;jul-1942;3º Trimestre;31-1942;qui
31/07/1942;31;1942;jul;31;0;0;jul-1942;3º Trimestre;31-1942;sex
01/08/1942;31;1942;ago;1;0;0;ago-1942;3º Trimestre;31-1942;sáb
02/08/1942;32;1942;ago;2;0;0;ago-1942;3º Trimestre;32-1942;dom
03/08/1942;32;1942;ago;3;0;0;ago-1942;3º Trimestre;32-1942;seg
04/08/1942;32;1942;ago;4;0;0;ago-1942;3º Trimestre;32-1942;ter
05/08/1942;32;1942;ago;5;0;0;ago-1942;3º Trimestre;32-1942;qua
06/08/1942;32;1942;ago;6;0;0;ago-1942;3º Trimestre;32-1942;qui
07/08/1942;32;1942;ago;7;0;0;ago-1942;3º Trimestre;32-1942;sex
08/08/1942;32;1942;ago;8;0;0;ago-1942;3º Trimestre;32-1942;sáb
09/08/1942;33;1942;ago;9;0;0;ago-1942;3º Trimestre;33-1942;dom
10/08/1942;33;1942;ago;10;0;0;ago-1942;3º Trimestre;33-1942;seg
