pk_cnae;nu_ordem_1;nu_ordem_2;nu_ordem_3;nu_ordem_4;nu_ordem_5;cd_ramo_atividade_1;cd_ramo_atividade_2;cd_ramo_atividade_3;cd_ramo_atividade_4;cd_ramo_atividade_5;de_ramo_atividade_1;de_ramo_atividade_2;de_ramo_atividade_3;de_ramo_atividade_4;de_ramo_atividade_5
2918;0;1;2;3;;4789008;4789099;7420001;7420003;;ATIVIDADES DE PRODUCAO DE FOTOGRAFIAS EXCETO AEREA E SUBMARINA;COMERCIO VAREJISTA DE ARTIGOS FOTOGRAFICOS E PARA FILMAGEM;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;LABORATORIOS FOTOGRAFICOS;
1850;0;1;;;;4623101;7500100;;;;ATIVIDADES VETERINARIAS;COMERCIO ATACADISTA DE ANIMAIS VIVOS;;;
1470;0;1;2;;;4753900;4754701;4759899;;;COMERCIO VAREJISTA DE MOVEIS;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO;;
1320;0;;;;;8610101;;;;;ATIVIDADES DE ATENDIMENTO HOSPITALAR EXCETO PRONTOSOCORRO E UNIDADES PARA ATENDIMENTO A URGENCIAS;;;;
1603;0;1;2;3;;2391503;4744005;4744006;4759899;;APARELHAMENTO DE PLACAS E EXECUCAO DE TRABALHOS EM MARMORE GRANITO ARDOSIA E OUTRAS PEDRAS;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE PEDRAS PARA REVESTIMENTO;
1802;0;;;;;1064300;;;;;FABRICACAO DE FARINHA DE MILHO E DERIVADOS EXCETO OLEOS DE MILHO;;;;
3032;0;1;2;3;;4729699;5611203;5620103;8299707;;CANTINAS  SERVICOS DE ALIMENTACAO PRIVATIVOS;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES;SALAS DE ACESSO A INTERNET;
1701;0;1;;;;4711302;4722902;;;;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  SUPERMERCADOS;PEIXARIA;;;
379;0;1;2;3;;1096100;1099699;4649499;4759899;;COMERCIO ATACADISTA DE OUTROS EQUIPAMENTOS E ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;FABRICACAO DE ALIMENTOS E PRATOS PRONTOS;FABRICACAO DE OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;
1852;0;1;;;;2813500;3321000;;;;FABRICACAO DE VALVULAS REGISTROS E DISPOSITIVOS SEMELHANTES PECAS E ACESSORIOS;INSTALACAO DE MAQUINAS E EQUIPAMENTOS INDUSTRIAIS;;;
381;0;1;;;;7319002;8219901;;;;FOTOCOPIAS;PROMOCAO DE VENDAS;;;
2553;0;1;2;3;4;0122900;4712100;4744099;5099801;5229099;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS MERCEARIAS E ARMAZENS;CULTIVO DE FLORES E PLANTAS ORNAMENTAIS;OUTRAS ATIVIDADES AUXILIARES DOS TRANSPORTES TERRESTRES NAO ESPECIFICADAS ANTERIORMENTE;TRANSPORTE AQUAVIARIO PARA PASSEIOS TURISTICOS
2555;0;1;2;3;4;4729699;4772500;5612100;7319002;9602502;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;COMERCIO VAREJISTA DE COSMETICOS PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;PROMOCAO DE VENDAS;SERVICOS AMBULANTES DE ALIMENTACAO
2554;0;1;;;;4789002;7731400;;;;ALUGUEL DE MAQUINAS E EQUIPAMENTOS AGRICOLAS SEM OPERADOR;COMERCIO VAREJISTA DE PLANTAS E FLORES NATURAIS;;;
2556;0;1;;;;4330402;4744001;;;;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;INSTALACAO DE PORTAS JANELAS TETOS DIVISORIAS E ARMARIOS EMBUTIDOS DE QUALQUER MATERIAL;;;
2569;0;1;2;3;4;4647801;4751200;4753900;4756300;9521500;COMERCIO ATACADISTA DE ARTIGOS DE ESCRITORIO E DE PAPELARIA;COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;COMERCIO VAREJISTA ESPECIALIZADO DE INSTRUMENTOS MUSICAIS E ACESSORIOS;REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO
2566;0;1;;;;4772500;4789002;;;;COMERCIO VAREJISTA DE COSMETICOS PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;COMERCIO VAREJISTA DE PLANTAS E FLORES NATURAIS;;;
2564;0;1;2;;;6462000;6612601;8211300;;;CORRETORAS DE TITULOS E VALORES MOBILIARIOS;HOLDINGS DE INSTITUICOES NAOFINANCEIRAS;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO;;
2565;0;1;2;;;3314702;3321000;4321500;;;INSTALACAO DE MAQUINAS E EQUIPAMENTOS INDUSTRIAIS;INSTALACAO E MANUTENCAO ELETRICA;MANUTENCAO E REPARACAO DE EQUIPAMENTOS HIDRAULICOS E PNEUMATICOS EXCETO VALVULAS;;
2567;0;1;2;3;4;4520001;4520002;4530703;7711000;7732201;ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR EXCETO ANDAIMES;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;LOCACAO DE AUTOMOVEIS SEM CONDUTOR;SERVICOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEICULOS AUTOMOTORES;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES
2570;0;1;2;;;0111302;0134200;0139306;;;CULTIVO DE CAFE;CULTIVO DE MILHO;CULTIVO DE SERINGUEIRA;;
2568;0;1;2;3;4;4755502;4755503;4759801;4772500;4789099;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;COMERCIO VAREJISTA DE ARTIGOS DE CAMA MESA E BANHO;COMERCIO VAREJISTA DE ARTIGOS DE TAPECARIA CORTINAS E PERSIANAS;COMERCIO VAREJISTA DE COSMETICOS PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE
2563;0;1;2;;;5611203;8230001;9329899;;;LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES;OUTRAS ATIVIDADES DE RECREACAO E LAZER NAO ESPECIFICADAS ANTERIORMENTE;SERVICOS DE ORGANIZACAO DE FEIRAS CONGRESSOS EXPOSICOES E FESTAS;;
2561;0;1;;;;5611203;5620102;;;;LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES;SERVICOS DE ALIMENTACAO PARA EVENTOS E RECEPCOES  BUFE;;;
2558;0;1;2;;;2622100;4751200;9511800;;;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;FABRICACAO DE PERIFERICOS PARA EQUIPAMENTOS DE INFORMATICA;REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS;;
2557;0;1;;;;9603304;9603305;;;;SERVICOS DE FUNERARIAS;SERVICOS DE SOMATOCONSERVACAO;;;
2559;0;1;;;;4744099;4789099;;;;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;;;
2551;0;1;2;;;4613300;4744099;7820500;;;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;LOCACAO DE MAODEOBRA TEMPORARIA;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MADEIRA MATERIAL DE CONSTRUCAO E FERRAGENS;;
2560;0;1;;;;3314711;4530703;;;;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;MANUTENCAO E REPARACAO DE MAQUINAS E EQUIPAMENTOS PARA AGRICULTURA E PECUARIA;;;
2552;0;1;2;3;4;4751200;4752100;4753900;4781400;4783101;COMERCIO VAREJISTA DE ARTIGOS DE JOALHERIA;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICACAO;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA
2530;0;1;;;;4744099;7732201;;;;ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR EXCETO ANDAIMES;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;;;
