pk_cnae;nu_ordem_1;nu_ordem_2;nu_ordem_3;nu_ordem_4;nu_ordem_5;cd_ramo_atividade_1;cd_ramo_atividade_2;cd_ramo_atividade_3;cd_ramo_atividade_4;cd_ramo_atividade_5;de_ramo_atividade_1;de_ramo_atividade_2;de_ramo_atividade_3;de_ramo_atividade_4;de_ramo_atividade_5
2438;0;1;;;;1033301;4686902;;;;COMERCIO ATACADISTA DE EMBALAGENS;FABRICACAO DE SUCOS CONCENTRADOS DE FRUTAS HORTALICAS E LEGUMES;;;
2444;0;1;2;3;4;4755502;4761003;4763601;4781400;4782201;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS;COMERCIO VAREJISTA DE CALCADOS
2446;0;1;2;3;4;4321500;4530703;4751200;4753900;4757100;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;COMERCIO VAREJISTA ESPECIALIZADO DE PECAS E ACESSORIOS PARA APARELHOS ELETROELETRONICOS PARA USO DOMESTICO EXCETO INFORMATICA E COMUNICACAO;INSTALACAO E MANUTENCAO ELETRICA
2443;0;1;2;3;;4751200;6319400;8219901;8299707;;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;FOTOCOPIAS;PORTAIS PROVEDORES DE CONTEUDO E OUTROS SERVICOS DE INFORMACAO NA INTERNET;SALAS DE ACESSO A INTERNET;
2442;0;1;2;3;4;4322303;4753900;5611201;5620101;8230001;COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA EMPRESAS;INSTALACOES DE SISTEMA DE PREVENCAO CONTRA INCENDIO;RESTAURANTES E SIMILARES;SERVICOS DE ORGANIZACAO DE FEIRAS CONGRESSOS EXPOSICOES E FESTAS
2460;0;1;;;;7112000;8413200;;;;REGULACAO DAS ATIVIDADES ECONOMICAS;SERVICOS DE ENGENHARIA;;;
2469;0;1;;;;1412601;8219999;;;;CONFECCAO DE PECAS DE VESTUARIO EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;;;
2471;0;1;;;;6201501;9511800;;;;DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENCOMENDA;REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS;;;
2468;0;1;2;3;4;4789099;7111100;7112000;7119703;7490199;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;OUTRAS ATIVIDADES PROFISSIONAIS CIENTIFICAS E TECNICAS NAO ESPECIFICADAS ANTERIORMENTE;SERVICOS DE ARQUITETURA;SERVICOS DE DESENHO TECNICO RELACIONADOS A ARQUITETURA E ENGENHARIA;SERVICOS DE ENGENHARIA
448;0;;;;;7119703;;;;;SERVICOS DE DESENHO TECNICO RELACIONADOS A ARQUITETURA E ENGENHARIA;;;;
2466;0;1;2;;;4763602;4781400;4789001;;;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE ARTIGOS ESPORTIVOS;COMERCIO VAREJISTA DE SUVENIRES BIJUTERIAS E ARTESANATOS;;
2467;0;1;;;;4672900;5320202;;;;COMERCIO ATACADISTA DE FERRAGENS E FERRAMENTAS;SERVICOS DE ENTREGA RAPIDA;;;
2470;0;1;;;;3101200;4744002;;;;COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS;FABRICACAO DE MOVEIS COM PREDOMINANCIA DE MADEIRA;;;
1277;0;1;2;3;4;5911199;5912099;5913800;5914600;7420004;ATIVIDADES DE EXIBICAO CINEMATOGRAFICA;ATIVIDADES DE POSPRODUCAO CINEMATOGRAFICA DE VIDEOS E DE PROGRAMAS DE TELEVISAO NAO ESPECIFICADAS ANTERIORMENTE;ATIVIDADES DE PRODUCAO CINEMATOGRAFICA DE VIDEOS E DE PROGRAMAS DE TELEVISAO NAO ESPECIFICADAS ANTERIORMENTE;DISTRIBUICAO CINEMATOGRAFICA DE VIDEO E DE PROGRAMAS DE TELEVISAO;FILMAGEM DE FESTAS E EVENTOS
42;0;1;;;;0111302;0115600;;;;CULTIVO DE MILHO;CULTIVO DE SOJA;;;
573;0;1;;;;4754701;7319001;;;;COMERCIO VAREJISTA DE MOVEIS;CRIACAO DE ESTANDES PARA FEIRAS E EXPOSICOES;;;
2051;0;1;2;3;;4635401;4723700;4784900;4789099;;COMERCIO ATACADISTA DE AGUA MINERAL;COMERCIO VAREJISTA DE BEBIDAS;COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO GLP;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;
575;0;1;2;3;;4520001;4520003;4520004;4520007;;SERVICOS DE ALINHAMENTO E BALANCEAMENTO DE VEICULOS AUTOMOTORES;SERVICOS DE INSTALACAO MANUTENCAO E REPARACAO DE ACESSORIOS PARA VEICULOS AUTOMOTORES;SERVICOS DE MANUTENCAO E REPARACAO ELETRICA DE VEICULOS AUTOMOTORES;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES;
576;0;1;2;3;;4712100;5611201;5611202;5611203;;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS MERCEARIAS E ARMAZENS;LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES;RESTAURANTES E SIMILARES;
1920;0;1;2;3;4;4755502;4763601;4781400;4782201;4789001;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE BRINQUEDOS E ARTIGOS RECREATIVOS;COMERCIO VAREJISTA DE CALCADOS;COMERCIO VAREJISTA DE SUVENIRES BIJUTERIAS E ARTESANATOS
577;0;1;2;3;4;3811400;4120400;4313400;4744099;8129000;ATIVIDADES DE LIMPEZA NAO ESPECIFICADAS ANTERIORMENTE;COLETA DE RESIDUOS NAOPERIGOSOS;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;CONSTRUCAO DE EDIFICIOS;OBRAS DE TERRAPLENAGEM
578;0;1;2;3;4;4721104;4751200;6190602;8219999;8299707;COMERCIO VAREJISTA DE DOCES BALAS BOMBONS E SEMELHANTES;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;PROVEDORES DE VOZ SOBRE PROTOCOLO INTERNET  VOIP;SALAS DE ACESSO A INTERNET
579;0;1;2;3;4;4530703;4729602;4731800;4732600;4784900;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;COMERCIO VAREJISTA DE COMBUSTIVEIS PARA VEICULOS AUTOMOTORES;COMERCIO VAREJISTA DE GAS LIQUEFEITO DE PETROLEO GLP;COMERCIO VAREJISTA DE LUBRIFICANTES;COMERCIO VAREJISTA DE MERCADORIAS EM LOJAS DE CONVENIENCIA
580;0;1;2;3;4;4120400;4321500;4322301;4330404;4330405;APLICACAO DE REVESTIMENTOS E DE RESINAS EM INTERIORES E EXTERIORES;CONSTRUCAO DE EDIFICIOS;INSTALACAO E MANUTENCAO ELETRICA;INSTALACOES HIDRAULICAS SANITARIAS E DE GAS;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL
458;0;1;;;;4753900;4759899;;;;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO;;;
581;0;1;2;3;4;1813001;1813099;1822999;8219901;8299703;FOTOCOPIAS;IMPRESSAO DE MATERIAL PARA OUTROS USOS;IMPRESSAO DE MATERIAL PARA USO PUBLICITARIO;SERVICOS DE ACABAMENTOS GRAFICOS EXCETO ENCADERNACAO E PLASTIFICACAO;SERVICOS DE GRAVACAO DE CARIMBOS EXCETO CONFECCAO
582;0;1;2;3;;0810006;4679604;4930201;4930202;;COMERCIO ATACADISTA ESPECIALIZADO DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;EXTRACAO DE AREIA CASCALHO OU PEDREGULHO E BENEFICIAMENTO ASSOCIADO;TRANSPORTE RODOVIARIO DE CARGA EXCETO PRODUTOS PERIGOSOS E MUDANCAS INTERMUNICIPAL INTERESTADUAL E INTERNACIONAL;TRANSPORTE RODOVIARIO DE CARGA EXCETO PRODUTOS PERIGOSOS E MUDANCAS MUNICIPAL;
1290;0;1;2;3;4;4330404;6463800;6810201;6810202;7020400;ALUGUEL DE IMOVEIS PROPRIOS;ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL EXCETO CONSULTORIA TECNICA ESPECIFICA;COMPRA E VENDA DE IMOVEIS PROPRIOS;OUTRAS SOCIEDADES DE PARTICIPACAO EXCETO HOLDINGS;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL
1259;0;1;;;;0810099;0990403;;;;ATIVIDADES DE APOIO A EXTRACAO DE MINERAIS NAOMETALICOS;EXTRACAO E BRITAMENTO DE PEDRAS E OUTROS MATERIAIS PARA CONSTRUCAO E BENEFICIAMENTO ASSOCIADO;;;
583;0;1;2;;;4752100;4753900;4781400;;;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICACAO;;
1516;0;1;2;3;4;7020400;7319003;7911200;7912100;9001999;AGENCIAS DE VIAGENS;ARTES CENICAS ESPETACULOS E ATIVIDADES COMPLEMENTARES NAO ESPECIFICADAS ANTERIORMENTE;ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL EXCETO CONSULTORIA TECNICA ESPECIFICA;MARKETING DIRETO;OPERADORES TURISTICOS
2058;0;;;;;4644301;;;;;COMERCIO ATACADISTA DE MEDICAMENTOS E DROGAS DE USO HUMANO;;;;
585;0;;;;;4623102;;;;;COMERCIO ATACADISTA DE COUROS LAS PELES E OUTROS SUBPRODUTOS NAOCOMESTIVEIS DE ORIGEM ANIMAL;;;;
586;0;1;2;3;;4755502;4755503;4781400;4782202;;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;COMERCIO VAREJISTA DE ARTIGOS DE CAMA MESA E BANHO;COMERCIO VAREJISTA DE ARTIGOS DE VIAGEM;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;
587;0;1;2;3;4;3314701;3314702;4329104;4399103;4520001;MANUTENCAO E REPARACAO DE EQUIPAMENTOS HIDRAULICOS E PNEUMATICOS EXCETO VALVULAS;MANUTENCAO E REPARACAO DE MAQUINAS MOTRIZES NAOELETRICAS;MONTAGEM E INSTALACAO DE SISTEMAS E EQUIPAMENTOS DE ILUMINACAO E SINALIZACAO EM VIAS PUBLICAS PORTOS E AEROPORTOS;OBRAS DE ALVENARIA;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES
588;0;;;;;0810007;;;;;EXTRACAO DE ARGILA E BENEFICIAMENTO ASSOCIADO;;;;
589;0;1;2;3;4;4292801;4321500;4322301;4399102;4399103;INSTALACAO E MANUTENCAO ELETRICA;INSTALACOES HIDRAULICAS SANITARIAS E DE GAS;MONTAGEM DE ESTRUTURAS METALICAS;MONTAGEM E DESMONTAGEM DE ANDAIMES E OUTRAS ESTRUTURAS TEMPORARIAS;OBRAS DE ALVENARIA
590;0;1;2;3;4;2542000;4330404;4330405;4399103;4399199;APLICACAO DE REVESTIMENTOS E DE RESINAS EM INTERIORES E EXTERIORES;FABRICACAO DE ARTIGOS DE SERRALHERIA EXCETO ESQUADRIAS;OBRAS DE ALVENARIA;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL;SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE
628;0;1;2;;;1094500;5612100;5620104;;;FABRICACAO DE MASSAS ALIMENTICIAS;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR;SERVICOS AMBULANTES DE ALIMENTACAO;;
2910;0;1;2;;;1099604;4723700;4729699;;;COMERCIO VAREJISTA DE BEBIDAS;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;FABRICACAO DE GELO COMUM;;
2009;0;1;;;;4755503;4789099;;;;COMERCIO VAREJISTA DE ARTIGOS DE CAMA MESA E BANHO;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;;;
591;0;1;;;;1422300;4781400;;;;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;FABRICACAO DE ARTIGOS DO VESTUARIO PRODUZIDOS EM MALHARIAS E TRICOTAGENS EXCETO MEIAS;;;
592;0;1;2;3;;4759899;4761003;4781400;4924800;;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;TRANSPORTE ESCOLAR;
457;0;;;;;5223100;;;;;ESTACIONAMENTO DE VEICULOS;;;;
2066;0;1;2;;;4679699;4744099;4930202;;;COMERCIO ATACADISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;TRANSPORTE RODOVIARIO DE CARGA EXCETO PRODUTOS PERIGOSOS E MUDANCAS INTERMUNICIPAL INTERESTADUAL E INTERNACIONAL;;
2067;0;1;2;3;;4761001;8219999;8291100;8593700;;ATIVIDADES DE COBRANCAS E INFORMACOES CADASTRAIS;COMERCIO VAREJISTA DE LIVROS;ENSINO DE IDIOMAS;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;
595;0;1;2;3;4;4713002;4762800;4781400;4789001;8299707;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE DISCOS CDS DVDS E FITAS;COMERCIO VAREJISTA DE SUVENIRES BIJUTERIAS E ARTESANATOS;LOJAS DE VARIEDADES EXCETO LOJAS DE DEPARTAMENTOS OU MAGAZINES;SALAS DE ACESSO A INTERNET
2068;0;1;2;3;;6399200;7319099;8291100;9329899;;ATIVIDADES DE COBRANCAS E INFORMACOES CADASTRAIS;OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES DE PUBLICIDADE NAO ESPECIFICADAS ANTERIORMENTE;OUTRAS ATIVIDADES DE RECREACAO E LAZER NAO ESPECIFICADAS ANTERIORMENTE;
109;0;;;;;4789001;;;;;COMERCIO VAREJISTA DE SUVENIRES BIJUTERIAS E ARTESANATOS;;;;
41;0;;;;;4729601;;;;;TABACARIA;;;;
2071;0;1;2;3;4;4511101;4541203;4541204;4541205;4543900;COMERCIO A VAREJO DE AUTOMOVEIS CAMIONETAS E UTILITARIOS NOVOS;COMERCIO A VAREJO DE MOTOCICLETAS E MOTONETAS NOVAS;COMERCIO A VAREJO DE MOTOCICLETAS E MOTONETAS USADAS;COMERCIO A VAREJO DE PECAS E ACESSORIOS PARA MOTOCICLETAS E MOTONETAS;MANUTENCAO E REPARACAO DE MOTOCICLETAS E MOTONETAS
598;0;1;2;3;4;4713001;4759899;4761003;4789005;4789099;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITARIOS;LOJAS DE DEPARTAMENTOS OU MAGAZINES
2075;0;1;;;;4329101;4789099;;;;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;INSTALACAO DE PAINEIS PUBLICITARIOS;;;
1369;0;1;;;;3299099;4689399;;;;COMERCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS INTERMEDIARIOS NAO ESPECIFICADOS ANTERIORMENTE;FABRICACAO DE PRODUTOS DIVERSOS NAO ESPECIFICADOS ANTERIORMENTE;;;
2839;0;1;2;3;;4923001;5320202;5612100;9521500;;REPARACAO E MANUTENCAO DE EQUIPAMENTOS ELETROELETRONICOS DE USO PESSOAL E DOMESTICO;SERVICO DE TAXI;SERVICOS AMBULANTES DE ALIMENTACAO;SERVICOS DE ENTREGA RAPIDA;
600;0;1;2;3;4;4520001;4520003;4520007;4530703;4753900;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO;SERVICOS DE INSTALACAO MANUTENCAO E REPARACAO DE ACESSORIOS PARA VEICULOS AUTOMOTORES;SERVICOS DE MANUTENCAO E REPARACAO ELETRICA DE VEICULOS AUTOMOTORES;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES
1472;0;1;2;3;4;4120400;4744001;4744002;4744005;4744099;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;CONSTRUCAO DE EDIFICIOS
601;0;1;;;;3832700;4687703;;;;COMERCIO ATACADISTA DE RESIDUOS E SUCATAS METALICOS;RECUPERACAO DE MATERIAIS PLASTICOS;;;
602;0;;;;;0210101;;;;;CULTIVO DE EUCALIPTO;;;;
1527;0;;;;;1622699;;;;;FABRICACAO DE OUTROS ARTIGOS DE CARPINTARIA PARA CONSTRUCAO;;;;
371;0;;;;;4713001;;;;;LOJAS DE DEPARTAMENTOS OU MAGAZINES;;;;
603;0;;;;;5590601;;;;;ALBERGUES EXCETO ASSISTENCIAIS;;;;
604;0;1;;;;4755502;4789008;;;;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;COMERCIO VAREJISTA DE ARTIGOS FOTOGRAFICOS E PARA FILMAGEM;;;
1254;0;1;;;;4615000;4754702;;;;COMERCIO VAREJISTA DE ARTIGOS DE COLCHOARIA;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE ELETRODOMESTICOS MOVEIS E ARTIGOS DE USO DOMESTICO;;;
2895;0;1;2;3;4;6319400;6391700;7311400;7320300;9319101;AGENCIAS DE NOTICIAS;AGENCIAS DE PUBLICIDADE;PESQUISAS DE MERCADO E DE OPINIAO PUBLICA;PORTAIS PROVEDORES DE CONTEUDO E OUTROS SERVICOS DE INFORMACAO NA INTERNET;PRODUCAO E PROMOCAO DE EVENTOS ESPORTIVOS
622;0;;;;;1412602;;;;;CONFECCAO SOB MEDIDA DE PECAS DO VESTUARIO EXCETO ROUPAS INTIMAS;;;;
605;0;1;2;3;;5611201;5611202;5611203;9329801;;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS;DISCOTECAS DANCETERIAS SALOES DE DANCA E SIMILARES;LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES;RESTAURANTES E SIMILARES;
606;0;1;;;;0133405;0151202;;;;CRIACAO DE BOVINOS PARA LEITE;CULTIVO DE COCODABAIA;;;
187;0;;;;;8591100;;;;;ENSINO DE ESPORTES;;;;
2807;0;1;2;3;4;4741500;4742300;4744003;4744004;4744099;COMERCIO VAREJISTA DE CAL AREIA PEDRA BRITADA TIJOLOS E TELHAS;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;COMERCIO VAREJISTA DE MATERIAIS HIDRAULICOS;COMERCIO VAREJISTA DE MATERIAL ELETRICO;COMERCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA
380;0;;;;;4761003;;;;;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;;;;
607;0;1;2;3;4;1622699;1623400;1629301;3101200;4744002;COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS;FABRICACAO DE ARTEFATOS DE TANOARIA E DE EMBALAGENS DE MADEIRA;FABRICACAO DE ARTEFATOS DIVERSOS DE MADEIRA EXCETO MOVEIS;FABRICACAO DE MOVEIS COM PREDOMINANCIA DE MADEIRA;FABRICACAO DE OUTROS ARTIGOS DE CARPINTARIA PARA CONSTRUCAO
1599;0;1;2;3;4;4754701;4755503;4759899;4789001;9529105;COMERCIO VAREJISTA DE ARTIGOS DE CAMA MESA E BANHO;COMERCIO VAREJISTA DE MOVEIS;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;COMERCIO VAREJISTA DE SUVENIRES BIJUTERIAS E ARTESANATOS;REPARACAO DE ARTIGOS DO MOBILIARIO
1810;0;1;2;3;;4771701;4771703;4772500;4773300;;COMERCIO VAREJISTA DE ARTIGOS MEDICOS E ORTOPEDICOS;COMERCIO VAREJISTA DE COSMETICOS PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS HOMEOPATICOS;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS SEM MANIPULACAO DE FORMULAS;
608;0;;;;;4299599;;;;;OUTRAS OBRAS DE ENGENHARIA CIVIL NAO ESPECIFICADAS ANTERIORMENTE;;;;
609;0;;;;;3600602;;;;;DISTRIBUICAO DE AGUA POR CAMINHOES;;;;
1630;0;1;2;;;4120400;4330402;4330499;;;CONSTRUCAO DE EDIFICIOS;INSTALACAO DE PORTAS JANELAS TETOS DIVISORIAS E ARMARIOS EMBUTIDOS DE QUALQUER MATERIAL;OUTRAS OBRAS DE ACABAMENTO DA CONSTRUCAO;;
2082;0;1;2;3;;6463800;6810201;6810202;6822600;;ALUGUEL DE IMOVEIS PROPRIOS;COMPRA E VENDA DE IMOVEIS PROPRIOS;GESTAO E ADMINISTRACAO DA PROPRIEDADE IMOBILIARIA;OUTRAS SOCIEDADES DE PARTICIPACAO EXCETO HOLDINGS;
611;0;;;;;4634603;;;;;COMERCIO ATACADISTA DE PESCADOS E FRUTOS DO MAR;;;;
2083;0;1;2;3;;4712100;4744001;4744099;4772500;;COMERCIO VAREJISTA DE COSMETICOS PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS MERCEARIAS E ARMAZENS;
613;0;1;;;;4330404;4741500;;;;COMERCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL;;;
614;0;;;;;9329801;;;;;DISCOTECAS DANCETERIAS SALOES DE DANCA E SIMILARES;;;;
1631;0;1;2;;;1411801;4772500;4781400;;;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;COMERCIO VAREJISTA DE COSMETICOS PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;CONFECCAO DE ROUPAS INTIMAS;;
1639;0;1;2;3;;4520007;4530701;4530703;4530704;;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;COMERCIO A VAREJO DE PECAS E ACESSORIOS USADOS PARA VEICULOS AUTOMOTORES;COMERCIO POR ATACADO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;SERVICOS DE INSTALACAO MANUTENCAO E REPARACAO DE ACESSORIOS PARA VEICULOS AUTOMOTORES;
615;0;1;;;;1531902;1533500;;;;ACABAMENTO DE CALCADOS DE COURO SOB CONTRATO;FABRICACAO DE CALCADOS DE MATERIAL SINTETICO;;;
1503;0;1;2;3;;4744004;4744099;4763604;4789002;;COMERCIO VAREJISTA DE ARTIGOS DE CACA PESCA E CAMPING;COMERCIO VAREJISTA DE CAL AREIA PEDRA BRITADA TIJOLOS E TELHAS;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;COMERCIO VAREJISTA DE PLANTAS E FLORES NATURAIS;
616;0;1;2;3;4;4520001;4520002;4520005;4520007;4530703;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;SERVICOS DE INSTALACAO MANUTENCAO E REPARACAO DE ACESSORIOS PARA VEICULOS AUTOMOTORES;SERVICOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEICULOS AUTOMOTORES;SERVICOS DE LAVAGEM LUBRIFICACAO E POLIMENTO DE VEICULOS AUTOMOTORES;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES
1390;0;1;2;3;4;5811500;5813100;5912099;7420004;8230001;ATIVIDADES DE POSPRODUCAO CINEMATOGRAFICA DE VIDEOS E DE PROGRAMAS DE TELEVISAO NAO ESPECIFICADAS ANTERIORMENTE;EDICAO DE LIVROS;EDICAO DE REVISTAS;FILMAGEM DE FESTAS E EVENTOS;SERVICOS DE ORGANIZACAO DE FEIRAS CONGRESSOS EXPOSICOES E FESTAS
1377;0;1;;;;4722901;4729699;;;;COMERCIO VAREJISTA DE CARNES  ACOUGUES;COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE;;;
2017;0;1;2;;;1623400;1629301;4744002;;;COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS;FABRICACAO DE ARTEFATOS DE TANOARIA E DE EMBALAGENS DE MADEIRA;FABRICACAO DE ARTEFATOS DIVERSOS DE MADEIRA EXCETO MOVEIS;;
