pk_location;nm_logradouro;nu_logradouro;cd_cep;nm_bairro;nm_municipio;sg_uf;latitude;longitude;municipio_uf_pais
7321;AVENIDA BRASIL;805;89990000;CENTRO;SAO LOURENCO DO OESTE;SC;-26,3524811;-52,8484358;SAO LOURENCO DO OESTE, SC, BR
7322;AVENIDA ASSIS CHATEAUBRIAND;595;91060440;PARQUE SAO SEBASTIAO;PORTO ALEGRE;RS;-29,999189;-51,1460504;PORTO ALEGRE, RS, BR
7323;RUA JOSE BARJESKI;27C;83508180;CACHOEIRA;ALMIRANTE TAMANDARE;PR;-25,3139749;-49,3027683;ALMIRANTE TAMANDARE, PR, BR
7324;RUA YAMAGATA JD TAKEBE;85;09940220;TABOAO;DIADEMA;SP;-23,6717796;-46,6028625;DIADEMA, SP, BR
7325;RUA GERONCIO THIVES;1079;88117200;BARREIROS;SAO JOSE;SC;-27,5854074;-48,6139946;SAO JOSE, SC, BR
7326;RUA 14;194;74030050;BAIRRO DOS AEROVIARIOS;GOIANIA;GO;-16,704572;-49,2328522;GOIANIA, GO, BR
7327;DISTRITO PIRANGI;;63970000;DISTRITO DE PIRANGI;IBARETAMA;CE;-4,8041517;-38,7504315;IBARETAMA, CE, BR
7328;RUA XAVANTINA;42;54335175;PRAZERES;JABOATAO DOS GUARARAPES;PE;-8,1721658;-34,9986835;JABOATAO DOS GUARARAPES, PE, BR
7329;RUA JOAO BOEMER;614;03018000;PARI;SAO PAULO;SP;-23,5342673;-46,6095515;SAO PAULO, SP, BR
7330;RUA ANTONIO REZENDE CHAVES;1229;38408236;SANTA MONICA;UBERLANDIA;MG;-18,9246553;-48,2429253;UBERLANDIA, MG, BR
7331;RUA DOUTOR JOSE AUGUSTO DE QUEIROZ;126;05670030;CIDADE JARDIM;SAO PAULO;SP;-23,5848411;-46,697476;SAO PAULO, SP, BR
7332;AVENIDA PACAEMBU;805;01234001;PACAEMBU;SAO PAULO;SP;-23,5336262;-46,6614291;SAO PAULO, SP, BR
7333;RUA GUAIANAZES;1245;80320240;PORTAO;CURITIBA;PR;-25,4651726;-49,2934088;CURITIBA, PR, BR
